area_id,impact_id,name,name_html,info,info_html,geography
5,0,Clearview AI appears to have been designed with explicitly racist use cases in mind.,"Clearview AI appears to have been designed with <a href=""https://medium.com/@AINowInstitute/ai-and-the-far-right-a-history-we-cant-ignore-f81375c3cc57"" target=""_blank"">explicitly racist use cases in mind</a>.","According to the Huffington Post report, Chuck Johnson - a former Breitbart writer - posted in January 2017 that he was involved in “building algorithms to ID all the illegal immigrants for the deportation squads.” Clearview AI has now signed a paid contract with Immigration and Customs Enforcement, which is using predictive analytics and facial recognition software to accelerate the detention and deportation of undocumented people in the United States, even as the pandemic unfolds around us. It is in use by some 2,400 police departments in the US.","According to the Huffington Post report, Chuck Johnson - a former Breitbart writer - posted in January 2017 that he was involved in “building algorithms to ID all the illegal immigrants for the deportation squads.” Clearview AI has now signed a paid contract with Immigration and Customs Enforcement, which is using predictive analytics and facial recognition software to accelerate the detention and deportation of undocumented people in the United States, even as the pandemic unfolds around us. It is in use by some <a href=""https://www.theverge.com/2021/1/10/22223349/clearview-ai-facial-recognition-law-enforcement-capitol-rioters"" target=""_blank"">2,400 police departments in the US</a>.",United States
5,0,A test-proctoring app reinforces structural oppression.,A test-proctoring app reinforces structural oppression.,"Proctorio, a test problematic test-proctoring app, reinforces structural oppression through bad-tech microaggressions, such as asking a Black woman to shine more light on her face for the system to recognize her.","Proctorio, a test problematic test-proctoring app, reinforces structural oppression through bad-tech microaggressions, such as <a href=""https://www.technologyreview.com/2020/08/07/1006132/software-algorithms-proctoring-online-tests-ai-ethics/?utm_medium=tr_social&amp;utm_campaign=site_visitor.unpaid.engagement&amp;utm_source=Twitter#Echobox=1596778938"" target=""_blank"">asking a Black woman to shine more light on her face</a> for the system to recognize her.",United States
5,0,Algorithms used to assess kidney function or predict heart failure use race as a central criterion.,Algorithms used to assess kidney function or predict heart failure use race as a central criterion.,"There is no scientific basis to do so, and the results discriminate against Black people, who are assigned less points automatically and therefore less likely to receive medical treatment.","There is no scientific basis to do so, <a href=""https://algorithmwatch.ch/en/racial-health-bias/"" target=""_blank"">and the results discriminate against Black</a> people, who are assigned less points automatically and therefore less likely to receive medical treatment.",Other
4,1,Predictive AI can mistakenly out LGBTQI+ people.,Predictive AI can mistakenly out LGBTQI+ people.,"A Stanford University study demonstrated an AI model that can accurately guess whether people are gay or straight based on their faces, and sparked a swift backlash from LGBTQI+ rights activists who fear this kind of technology could be used to harm queer people.","<a href=""https://www.theguardian.com/world/2017/sep/08/ai-gay-gaydar-algorithm-facial-recognition-criticism-stanford"" target=""_blank"">A Stanford University</a> study demonstrated an AI model that can accurately guess whether people are gay or straight based on their faces, and sparked a swift backlash from LGBTQI+ rights activists who fear this kind of technology could be used to harm queer people.",n/a
4,1,Ignoring complexity of gender identities.,Ignoring complexity of gender identities.,"The Transgender Rights movement has had to push back against technological systems that force people into gender binaries. From Facebook's ""sex"" field to AI systems like Genderify that force definitions of people into male / female binaries by their name, face, or other traits, machine decision making systems have routinely ignored the more complicated realities of being human when they don't fit neatly into poorly conceived computer systems.","The <a href=""https://en.wikipedia.org/wiki/Transgender_rights_movement"" target=""_blank"">Transgender Rights</a> movement has had to push back against technological systems that force people into gender binaries. From Facebook's ""sex"" field to AI systems like Genderify that force definitions of people into male / female binaries by their name, face, or other traits, machine decision making systems have routinely ignored the more complicated realities of being human when they don't fit neatly into poorly conceived computer systems.",n/a
4,2,AI and robotics will become integral to future security systems and therefore to border control and preventing irregular migration.,"AI and robotics will become integral to <a href=""http://www.mixedmigration.org/articles/artificial-intelligence-and-radical-technical-innovation-the-impact-of-the-fourth-industrial-revolution-on-mixed-migration/"" target=""_blank"">future security systems and therefore to border control and preventing irregular migration</a>.","Mixed Migration Review explains that the likely impact of demographic changes and environmental stressors amongst other future changes will lead the number of migrants and refugees in the world to increase significantly. With asylum seekers, refugees and migrants, travelling together in mixed irregular flows, often in vulnerable situations, this raises serious concerns.Migrants and refugees have been called some of ""the most surveilled people on the planet,"" as they cross multiple national borders where government immigration authorities collect and compute copious amounts of new data sources (such as social media data) through black box algorithms offered by vendors to automate what can, unfortunately, amount to life-or-death decisions.","Mixed Migration Review explains that the likely impact of demographic changes and environmental stressors amongst other future changes will lead the number of migrants and refugees in the world to increase significantly. With asylum seekers, refugees and migrants, travelling together in mixed irregular flows, often in vulnerable situations, this raises serious concerns.<br/><br/>Migrants and refugees have been called some of ""the most surveilled people on the planet,"" as they cross multiple national borders where government <a href=""https://privacyinternational.org/protecting-migrants-borders-and-beyond"" target=""_blank"">immigration authorities</a> collect and compute copious amounts of new data sources (such as social media data) through black box algorithms offered by vendors to automate what can, unfortunately, amount to life-or-death decisions.",Globally
5,3,Amazon's algorithm used to determine speed delivery options discriminated against minority neighbourhoods.,Amazon's algorithm used to determine speed delivery options discriminated against minority neighbourhoods.,"The predictive algorithm Amazon used to determine which parts of a city could enjoy same-day Prime Delivery discriminated against minority urban neighborhoods. The company excluded the entirety of the Bronx, for example. The distinct disparity in service caused political backlash when Bloomberg News uncovered it, and Amazon has since overridden its algorithm to extend same-day delivery in Boston, Chicago and New York.","The predictive algorithm Amazon used to determine which parts of a city could enjoy <a href=""https://www.bloomberg.com/graphics/2016-amazon-same-day/"" target=""_blank"">same-day Prime Delivery</a> discriminated against minority urban neighborhoods. The company excluded the entirety of the Bronx, for example. The distinct disparity in service caused political backlash when Bloomberg News uncovered it, and Amazon has since overridden its algorithm to extend same-day delivery in Boston, Chicago and New York.",n/a
3,3,Driving financial discrimination against the marginalized in the Global South.,"<a href=""https://www.ilo.org/wcmsp5/groups/public/---dgreports/---cabinet/documents/publication/wcms_647306.pdf"" target=""_blank"">Driving financial discrimination against the marginalized in the Global South.</a>","The job-killing ""creative destruction"" expected to follow incoming waves of AI and robotics advancements is likely to inflict the most damage on the exact countries that are least able to nimbly respond. At minimum, emerging economies face a torrid period of short- and medium-term pain as they adjust to a post-AI economy. It is not even clear what this adjustment might look like — how can these countries improve their position in a world without jobs for their millions of low-wage workers.","The job-killing ""creative destruction"" expected to follow incoming waves of AI and robotics advancements is likely to inflict the most damage on the exact countries that are least able to nimbly respond. At minimum, emerging economies face a torrid period of short- and medium-term pain as they adjust to a post-AI economy. It is not even clear what this adjustment might look like — how can these countries improve their position in a world without jobs for their millions of low-wage workers.",Global South
3,3,Economic vulnerability for working class women in tech supply chains.,Economic vulnerability for working class women in tech supply chains.,"There are approximately 190 million women working in global supply chains. While their jobs may offer women some economic independence, if social standards go unmanaged, the reality can include low wages, excessive hours, unsafe conditions, and sexual harassment. AI's promise to eliminate labor could eliminate this hard-earned economic freedom and exacerbate poor working conditions. Experts have predicted that AI will hollow out the middle of the labor force, so that only very high skilled and low skilled jobs remain.","There are approximately <a href=""https://www.ethicaltrade.org/issues/gender-equity-global-supply-chains"" target=""_blank"">190 million women working in global supply chains</a>. While their jobs may offer women some economic independence, if social standards go unmanaged, the reality can include low wages, excessive hours, unsafe conditions, and sexual harassment. AI's promise to eliminate labor could eliminate this hard-earned economic freedom and exacerbate poor working conditions. Experts have predicted that AI will hollow out the middle of the labor force, so that only very high skilled and low skilled jobs remain.",Globally
3,3,Facebook's ad algorithm has been found to stereotype potential job applicants by race and gender.,Facebook's ad algorithm has been found to stereotype potential job applicants by race and gender.,"A study by researchers at Northeastern University found that jobs with taxi companies were overwhelmingly delivered to black users and secretarial ads to women, despite neutral targeting preferences by the people running the ads.","<a href=""https://arxiv.org/abs/1904.02095"" target=""_blank"">A study by researchers at Northeastern University</a> found that jobs with taxi companies were overwhelmingly delivered to black users and secretarial ads to women, despite neutral targeting preferences by the people running the ads.",United States
3,3,"AI has been found to exacerbate bias in recruitment, negatively impacting women, and especially women of color.","AI has been found to exacerbate bias in recruitment, negatively impacting women, and especially women of color.","Women at the Table's Artificial Intelligence Recruitment study dives into the bias in AI applications for Human Resources recruiting. In 2014, for example, Amazon found that an AI algorithm it developed to automate headhunting taught itself to bias against female candidates.","<a href=""https://www.womenatthetable.net/"" target=""_blank"">Women at the Table's Artificial Intelligence Recruitment study</a> dives into the bias in AI applications for Human Resources recruiting. In 2014, for example, Amazon found that <a href=""https://slate.com/business/2018/10/amazon-artificial-intelligence-hiring-discrimination-women.html"" target=""_blank"">an AI algorithm it developed to automate headhunting</a> taught itself to bias against female candidates.",n/a
1,3,"Growing automation of agricultural work might cause less work for farm workers, predominantly women in Asia/Africa/other geographies.","<a href=""http://documents1.worldbank.org/curated/en/777731585054424384/pdf/The-Future-of-Work-in-Agriculture-Some-Reflections.pdf"" target=""_blank"">Growing automation of agricultural work might cause less work for farm workers, predominantly women in Asia/Africa/other geographies.</a>","Robots already do much of the harvesting of lettuce and tomatoes in some greenhouses in the global north. All these developments have had a significant impact on the labour market. For countries in the industrial world, this growing automation probably means the continued decline of rural life. In Africa and large parts of Asia, women in rural areas constitute the majority of the agricultural labour force in small-scale and subsistence farming. Since official statistics do not capture unpaid work, be it in the garden, in the field or in the household, they insufficiently represent women’s actual share in agricultural work. Women in Africa and Asia who live in rural areas are often doubly affected by discrimination.","Robots already do much of the harvesting of lettuce and tomatoes in some greenhouses in the global north. All these developments have had a significant impact on the labour market. For countries in the industrial world, this growing automation probably means the continued decline of rural life. In Africa and large parts of Asia, women in rural areas constitute the majority of the agricultural labour force in small-scale and subsistence farming. Since official statistics do not capture unpaid work, be it in the garden, in the field or in the household, they insufficiently represent women’s actual share in agricultural work. Women in Africa and Asia who live in rural areas are often doubly affected by discrimination.",Globally
1,3,The 'ghost work' of AI is done by low-paid workers across developing countries.,"<a href=""https://www.forbes.com/sites/adigaskell/2019/09/02/the-ghost-workers-powering-the-ai-economy/?sh=5a0cbc6143eb"" target=""_blank"">The 'ghost work' of AI is done by low-paid workers across developing countries.</a>","The “hidden ghost work” of data cleaning, image labelling, text processing and content moderation being performed by back-end workers across developing economies. Recently, much has been written about the wage differentials in digital labour and the evidently meagre remuneration being paid to surveilled global South workers doing the “janitorial” labour that keeps digital platforms healthy and productive. Not only this, it has also come to light that many AI assistants are in fact fully powered by real human agents working in developing countries. When massive data sets are used to train AI systems, the individual images and videos involved are commonly tagged and labeled. There are millions of low-paid tech workers doing this backend kind of work.","The “hidden ghost work” of data cleaning, image labelling, text processing and content moderation being performed by back-end workers across developing economies. Recently, much has been written about the wage differentials in digital labour and the evidently meagre remuneration being paid to surveilled global South workers doing the “janitorial” labour that keeps digital platforms healthy and productive. Not only this, it has also come to light that many AI assistants are in fact fully powered by real human agents working in developing countries. When massive data sets are used to train AI systems, the individual images and videos involved are commonly tagged and labeled. There are millions of low-paid tech workers doing this backend kind of work.",Global South
1,3,"The majority of the workers, yet the most vulnerable: there are approximately 190 million women working in global supply chains.","<a href=""https://www.ethicaltrade.org/issues/gender-equity-global-supply-chains"" target=""_blank"">The majority of the workers, yet the most vulnerable: there are approximately 190 million women working in global supply chains.</a>","While their jobs may offer women some economic independence, if social standards go unmanaged, the reality can include low wages, excessive hours, unsafe conditions, and sexual harassment. Women are more likely to be affected by significant economic shifts, such as COVID-19 contractions and AI-uptake.","While their jobs may offer women some economic independence, if social standards go unmanaged, the reality can include low wages, excessive hours, unsafe conditions, and sexual harassment. Women are more likely to be affected by significant economic shifts, such as COVID-19 contractions and AI-uptake.",Globally
1,3,In countries where the price of labour is very low and education outcomes are also low the uptake of AI will most likely be slowest.,"In countries where the price of labour is very low and education outcomes are also low <a href=""http://www.mixedmigration.org/articles/artificial-intelligence-and-radical-technical-innovation-the-impact-of-the-fourth-industrial-revolution-on-mixed-migration/"" target=""_blank"">the uptake of AI will most likely be slowest.</a>","The Government Artificial Intelligence Readiness Index illustrates that many refugee and migrant countries of origin are ill-equipped to make changes towards AI.  For example, Somalia, Eritrea, Sudan, South Sudan, and the Democratic Republic of  Congo are all countries that produce both migrants and refugees, are at the very bottom (last 10) of the index, and also in the lowest decile of most human development rankings. By contrast the most preferred countries of destination for migrants and refugees are those with the highest AI readiness ranking.The ILO takes data from many countries around the world, so it provides a comprehensive picture. The Government Artificial Intelligence Readiness Index shows that the countries that are least ready to make changes towards AI are: Somalia, Eritrea, Sudan, South Sudan, Democratic Republic of Congo. In general, they are countries with the lowest human development rankings, which means that all of these countries should be prioritized more in thinking about uptake of AI/ethical AI/trustworthy AI.","The Government Artificial Intelligence Readiness Index illustrates that many refugee and migrant countries of origin are ill-equipped to make changes towards AI. For example, Somalia, Eritrea, Sudan, South Sudan, and the Democratic Republic of Congo are all countries that produce both migrants and refugees, are at the very bottom (last 10) of the index, and also in the lowest decile of most human development rankings. By contrast the most preferred countries of destination for migrants and refugees are those with the highest AI readiness ranking.<a href=""https://content.sciendo.com/view/journals/izajolp/9/1/article-20190004.xml?language=en#j_izajolp-2019-0004_ref_061_w2aab3b8c46b1b7b1ab2b2c61Aa"" target=""_blank"">The ILO takes data from many countries around the world, so it provides a comprehensive picture.</a> The Government Artificial Intelligence Readiness Index shows that the countries that are least ready to make changes towards AI are: Somalia, Eritrea, Sudan, South Sudan, Democratic Republic of Congo. In general, they are countries with the lowest human development rankings, which means that all of these countries should be prioritized more in thinking about uptake of AI/ethical AI/trustworthy AI.",Globally
