area_id,impact_id,name,name_html,category,geography
4,0,"EqualAI promotes a framework for equality in AI systems, a voluntary pledge, and an AI preparation checklist. Participants include Cognizant, Postmates, and Humana.","<a href=""https://www.equalai.org/"" target=""_blank"">EqualAI</a> promotes a framework for equality in AI systems, a voluntary pledge, and an AI preparation checklist. Participants include Cognizant, Postmates, and Humana.",Digital rights,Globally
4,0,"ELSA, the largest independent law student association, will focus on ""the interplay between artificial intelligence and human rights to highlight issues caused by AI processing of large data group and discriminatory algorithms"" in 2020-21.","<a href=""https://elsa.org/human-rights-campaign/"" target=""_blank"">ELSA</a>, the largest independent law student association, will focus on ""the interplay between artificial intelligence and human rights to highlight issues caused by AI processing of large data group and discriminatory algorithms"" in 2020-21.",Civil society,European Union
1,0,"Digital Freedom Fund: (Mozilla host org) DFF initiated a decolonizing process for the digital rights field in early 2020, together with its project partner EDRi (European Digital Rights). The goal of this work is to challenge the structural causes of oppression such as racism, sexism, ableism, homophobia, transphobia, and economic injustice which the use of digital technologies has the potential to not only reproduce but also amplify. They're seeking to expand this work currently.","<a href=""https://twitter.com/df_fund?lang=en"" target=""_blank"">Digital Freedom Fund</a>: (Mozilla host org) DFF initiated a decolonizing process for the digital rights field in early 2020, together with its project partner EDRi (European Digital Rights). The goal of this work is to challenge the structural causes of oppression such as racism, sexism, ableism, homophobia, transphobia, and economic injustice which the use of digital technologies has the potential to not only reproduce but also amplify. They're seeking to expand this work currently.",Digital rights,European Union
3,0,South Africa Human Sciences Research Council' s researcher Dr. Rachel Adams published research on the gender discrimination and bias embedded in AI systems.,"<a href=""http://www.hsrc.ac.za/en/review/hsrc-review-march-2020/artificial-intelligence"" target=""_blank"">South Africa Human Sciences Research Council' </a>s researcher Dr. Rachel Adams published research on the gender discrimination and bias embedded in AI systems.",Academic / Researcher,South Africa
3,0,"Davis Institute on Gender in Media, a research-based organization which aims to educate creators and audiences about the importance of eliminating unconscious bias in the entertainment industry. ""Using AI, Davis’ company created the gender-bias tool called that analyzes scripts to pick up any gender bias, it counts the number of male and female characters and then evaluates whether the breakdown is representative of the actual population.""","<a href=""https://seejane.org/"" target=""_blank"">Davis Institute on Gender in Media</a>, a research-based organization which aims to educate creators and audiences about the importance of eliminating unconscious bias in the entertainment industry. ""Using AI, Davis’ company created the gender-bias tool called that analyzes scripts to pick up any gender bias, it counts the number of male and female characters and then evaluates whether the breakdown is representative of the actual population.""",Civil society,United States
3,0,"I'd blush if I could' is a UNESCO report produced with the German Federal Ministry of Economic Cooperation and Development and the EQUALS Skills Coalition criticizing the usage of deferential young female voices by AI assistants.Launched in 2016 by the International Telecommunication Union and four founding partners – GSMA, the International Trade Centre, the United Nations University and UN Women – EQUALS contributes to the UN Sustainable Development Agenda through actions and evidence-based research aimed at closing the global gender digital divide.Now made up of more than 90 partners and growing fast, EQUALS uses a multidisciplinary approach that integrates research, policy and programming to promote gender equality in technology access, skills and leadership, as well as conducting ground-breaking, evidence-based research.","<a href=""https://2b37021f-0f4a-4640-8352-0a3c1b7c2aab.filesusr.com/ugd/04bfff_06ba0716e0604f51a40b4474d4829ba8.pdf"" target=""_blank"">I'd blush if I could'</a> is a UNESCO report produced with the German Federal Ministry of Economic Cooperation and Development and the EQUALS S<a href=""https://www.equals.org/skills"" target=""_blank"">kills Coalition</a> criticizing the usage of deferential young female voices by AI assistants.Launched in 2016 by the International Telecommunication Union and four founding partners – GSMA, the International Trade Centre, the United Nations University and UN Women – EQUALS contributes to the UN Sustainable Development Agenda through actions and evidence-based research aimed at closing the global gender digital divide.Now made up of more than 90 partners and growing fast, EQUALS uses a multidisciplinary approach that integrates research, policy and programming to promote gender equality in technology access, skills and leadership, as well as conducting ground-breaking, evidence-based research.",Civil society,Globally
5,0,"CryptoHarlem is a monthly, three-hour open workshop held at The Harlem Business Alliance on Malcolm X Boulevard in northern Manhattan. It provides the community with free advice and assistance related to online privacy and security.","<a href=""https://internethealthreport.org/v01/stories/teaching-encryption-in-harlem/"" target=""_blank"">CryptoHarlem</a> is a monthly, three-hour open workshop held at The Harlem Business Alliance on Malcolm X Boulevard in northern Manhattan. It provides the community with free advice and assistance related to online privacy and security.",Civil society,United States
5,0,"Color of Change: (Mozilla host org) leads campaigns that build power for Black communities in the US, focused on holding institutions, governments, and increasingly, platforms to account. They also host a digital campaign platform, OrganizeFor.","<a href=""https://colorofchange.org/"" target=""_blank"">Color of Change</a>: (Mozilla host org) leads campaigns that build power for Black communities in the US, focused on holding institutions, governments, and increasingly, platforms to account. They also host a digital campaign platform, <a href=""https://organizefor.org/"" target=""_blank"">OrganizeFor</a>.",Digital rights,United States
4,0,"Kenya Haki na Sheria is an intersectional social justice organization focused on the promotion of human rights and participation of marginalized people in governance. They were part of the coalition against Huduma Number, the digital ID initiative by the Kenyan government.","<a href=""http://hakinasheria.org/"" target=""_blank"">Kenya Haki na Sheria</a> is an intersectional social justice organization focused on the promotion of human rights and participation of marginalized people in governance. They were part of the coalition against <a href=""https://namati.org/news-stories/press-release-huduma-namba-stopped/"" target=""_blank"">Huduma Number</a>, the digital ID initiative by the Kenyan government.",Civil society,Kenya
1,0,"National Federal Housing Alliance, together with ACLU and CWA filed a lawsuit against Facebook's discriminatory ad algorithms. As ProPublica reported, as a result of the settlement the social media giant created the special ads portal to prevent discrimination in employment, housing, and credit ads against legally protected groups such as women and older workers (which didn't ultimately prevent the discrimination).","<a href=""https://nationalfairhousing.org/"" target=""_blank"">National Federal Housing Alliance</a>, together with <a href=""https://www.aclu.org/blog/womens-rights/womens-rights-workplace/facebook-settles-civil-rights-cases-making-sweeping"" target=""_blank"">ACLU</a> and <a href=""https://cwa-union.org/news/releases/class-action-lawsuit-hits-tmobile-amazon-cox-for-alleged-age-discrimination"" target=""_blank"">CWA</a> filed a lawsuit against Facebook's discriminatory ad algorithms. As ProPublica reported, as a result of the settlement the social media giant <a href=""https://www.propublica.org/article/facebook-ads-can-still-discriminate-against-women-and-older-workers-despite-a-civil-rights-settlement"" target=""_blank"">created the special ads portal to prevent discrimination</a> in employment, housing, and credit ads against legally protected groups such as women and older workers (which didn't ultimately prevent the discrimination).",Civil society,United States
1,0,"Black and Brown Founders provides community, education, and access to Black and Latinx entrepreneurs, allowing them to launch and build tech businesses with modest resources.","<a href=""https://blackandbrownfounders.com/"" target=""_blank"">Black and Brown Founders</a> provides community, education, and access to Black and Latinx entrepreneurs, allowing them to launch and build tech businesses with modest resources.",Civil society,United States
5,0,"Thoughtworks is a global software consultancy. Their technologists work on projects that affect social change globally. For example: one of their consultants works with local communities in Brazil on awareness about racist bias in facial recognition and researches the role of black women in ethics, technology, and digital security.","<a href=""https://www.thoughtworks.com/"" target=""_blank"">Thoughtworks</a> is a global software consultancy. Their technologists work on projects that affect social change globally. For example: one of their consultants works with local communities in Brazil on awareness about racist bias in facial recognition and researches the role of black women in ethics, technology, and digital security.",Digital rights,Brazil
3,0,"Feminist Internet Research Network (FIRN) gathers researchers from around the world, but especially in the global South, to explore new approaches to digital research built around the FPIs and feminist research practices and values. In 2019 the network arranged its first convening with eight researchers selected to be part of the FIRN project, six peer advisors, donors, and facilitators. The network managed to create a collective ethics of feminist research principles and domains of change that ground the network's values.","<a href=""https://www.apc.org/en/project/firn-feminist-internet-research-network"" target=""_blank"">Feminist Internet Research Network (FIRN)</a> gathers researchers from around the world, but especially in the global South, to explore new approaches to digital research built around the FPIs and feminist research practices and values. In 2019 the network arranged its first convening with eight researchers selected to be part of the FIRN project, six peer advisors, donors, and facilitators. The network managed to create a collective ethics of feminist research principles and domains of change that ground the network's values.",Academic / Researcher,Globally
3,0,"Feminist Internet is an is a non-profit organization on a mission to make the internet a more equal space for women and other marginalized groups through creative, critical practice. They run a workshop called “Designing a Feminist Alexa,” which has resulted in a number of voice experiments that push the boundaries of how we think our voice assistants should speak, act, and interact.","<a href=""https://feministinternet.com/about/"" target=""_blank"">Feminist Internet</a> is an is a non-profit organization on a mission to make the internet a more equal space for women and other marginalized groups through creative, critical practice. They run a workshop called <a href=""https://drive.google.com/file/d/1vIrIT8dIA9muhvd-XfCCCCUQCujRhMOO/view"" target=""_blank"">“Designing a Feminist Alexa,”</a> which has resulted in a number of voice experiments that push the boundaries of how we think our voice assistants should speak, act, and interact.",Civil society,United States
3,0,"Women at the Table is a Geneva-based organization that is building the structural power of women to change agendas at the intersection of technology, labor, and governance.","<a href=""https://www.womenatthetable.net/"" target=""_blank"">Women at the Table</a> is a Geneva-based organization that is building the structural power of women to change agendas at the intersection of technology, labor, and governance.",Civil society,European Union
3,0,"Women at the Table makes women visible on the global stage and makes women leaders a point of reference in cultural conversations beyond 'women's issues.' They have led extensive research on the gendered bias and impact of AI in Human Resources, and launched A+ Alliance: Affirmative Action for Algorithms, the international coalition that seeks to not only detect, but correct, gender bias in Artificial Intelligence.","<a href=""https://www.womenatthetable.net/"" target=""_blank"">Women at the Table</a> makes women visible on the global stage and makes women leaders a point of reference in cultural conversations beyond 'women's issues.' They have led extensive research on the gendered bias and impact of <a href=""https://uploads.strikinglycdn.com/files/94e6d2d1-0f00-4161-a8b2-9cbbbefc74f6/AI%20Recruitment-%20Digital%20dream%20or%20dystopia.pdf"" target=""_blank"">AI in Human Resources</a>, and launched <a href=""https://aplusalliance.org/en/pages/alliance"" target=""_blank"">A+ Alliance: Affirmative Action for Algorithms</a>, the international coalition that seeks to not only detect, but correct, gender bias in Artificial Intelligence.",Digital rights,European Union
1,0,Women Win - created a framework to determine due diligence at each step of the supply chain to create more just conditions for women workers.,"<a href=""http://www.womenwin.org/"" target=""_blank"">Women Win</a> - created <a href=""https://www.womenwin.org/win-win/wp-content/uploads/2020/12/Building-a-Better-Future....pdf"" target=""_blank"">a framework</a> to determine due diligence at each step of the supply chain to create more just conditions for women workers.",Civil society,European Union
3,0,"Feminist AI (US) does community-based educational work around the unquestioned uses of artificial intelligence, and reimagining alternative technologies. Now, they are launching a series of educational workshops that center BIPOC and LGBTQI+ womxn and non-binary folks, where participants will critically learn about AI and create their own social technologies or AI.","<a href=""https://www.feminist.ai/"" target=""_blank"">Feminist AI</a> (US) does community-based educational work around the unquestioned uses of artificial intelligence, and reimagining alternative technologies. Now, they are launching a series of educational workshops that center BIPOC and LGBTQI+ womxn and non-binary folks, where participants will critically learn about AI and create their own social technologies or AI.",Digital rights,United States
1,0,"Blue Ridge Labs at the Robin Hood Foundation incubates and accelerates fintech startups explicitly aimed at helping low-income Americans, from housing repairs to microfinance for the US urban context.","<a href=""https://labs.robinhood.org/"" target=""_blank"">Blue Ridge Labs</a> at the Robin Hood Foundation incubates and accelerates fintech startups explicitly aimed at helping low-income Americans, from housing repairs to microfinance for the US urban context.",Civil society,United States
0,0,"Foxglove has threatened legal action against the UK's grading algorithms because they punish students and limit their future opportunities based on scores of the schools they've attended, rather than their individual performance.","<a href=""https://www.foxglove.org.uk/"" target=""_blank"">Foxglove</a> has threatened legal action against the UK's <a href=""https://www.statewatch.org/news/2020/august/uk-legal-action-threatened-over-algorithm-used-to-grade-teenagers-exams/"" target=""_blank"">grading algorithms</a> because they punish students and limit their future opportunities based on scores of the schools they've attended, rather than their individual performance.",Digital rights,United Kingdom
0,0,AI Now Institute hosted a partnership with the the American Civil Liberties Union to consider the effects of AI on every civil liberties issue the ACLU works on. One of the priority areas was machine bias in financing and lending.,"AI Now Institute hosted a <a href=""https://www.fastcompany.com/90134278/biased-ai-is-a-threat-to-civil-liberty-the-aclu-has-a-plan-to-fix-it"" target=""_blank"">partnership with the the American Civil Liberties Union</a> to consider the effects of AI on every civil liberties issue the ACLU works on. One of the priority areas was machine bias in financing and lending.",Digital rights,United States
5,0,"OSISA - Non-digital org with a component of digital rights in their democracy and governance work. They have a racial justice program, however the intersection with technology and anti racism may be an opportunity for Mozilla to collaborate on.","<a href=""https://osisa.org/"" target=""_blank"">OSISA</a> - Non-digital org with a component of digital rights <a href=""https://osisa.org/democracy-governance/"" target=""_blank"">in their democracy and governance work</a>. They have a racial justice program, however the intersection with technology and <a href=""https://osisa.org/anti-black-racism/"" target=""_blank"">anti racism</a> may be an opportunity for Mozilla to collaborate on.",Civil society,South Africa
5,0,"The We Be Imagining Podcast  at Columbia University examines the intersection of race, tech, surveillance, gender and disability in the COVID-19 era.","<a href=""https://americanassembly.org/wbipodcast"" target=""_blank"">The We Be Imagining Podcast</a> at Columbia University examines the intersection of race, tech, surveillance, gender and disability in the COVID-19 era.",Academic / Researcher,United States
4,1,"The Trevor Project is a national 24-hour, toll free confidential suicide hotline that uses AI to increase capacity for LGBTQI+ youth. LGBTQI+ rights are an important component of gender justice and broader justice. Read more about their work with emerging technologies in the Pathways Through the Portal report.","<a href=""http://theotherfoundation.org/"" target=""_blank"">The Trevor Project</a> is a national 24-hour, toll free confidential suicide hotline that uses AI to increase capacity for LGBTQI+ youth. LGBTQI+ rights are an important component of gender justice and broader justice. Read more about their work with emerging technologies in the <a href=""http://theotherfoundation.org/"" target=""_blank"">Pathways Through the Portal report</a>.",Civil society,United States
4,1,"Lesbians Who Tech & Allies is a community of LGBTQI+ women, non-binary, and trans individuals in and around tech (and the people who support them).","<a href=""https://lesbianswhotech.org/about/"" target=""_blank"">Lesbians Who Tech</a> & Allies is a community of LGBTQI+ women, non-binary, and trans individuals in and around tech (and the people who support them).",Civil society,United States
4,1,The National Center for Transgender Equality is the nation's leading social justice advocacy organization winning life-saving change for transgender people.,"The <a href=""https://transequality.org/"" target=""_blank"">National Center for Transgender Equality</a> is the nation's leading social justice advocacy organization winning life-saving change for transgender people.",Civil society,United States
4,1,"The Human Rights Campaign ""envisions a world where every member of the LGBTQI+ family has the freedom to live their truth without fear, and with equality under the law. We empower our 3 million members and supporters to mobilize against attacks on the most marginalized people in our community.""","The <a href=""https://www.hrc.org/"" target=""_blank"">Human Rights Campaign</a> ""envisions a world where every member of the LGBTQI+ family has the freedom to live their truth without fear, and with equality under the law. We empower our 3 million members and supporters to mobilize against attacks on the most marginalized people in our community.""",Civil society,United States
4,1,"The Other Foundation is focused on the LGBTQI+ community in Southern Africa and is located in South Africa.They gather support for those working to protect and advance the rights, wellbeing and social inclusion of people of all sexual orientations and gender identities. They have engaged with Facebook on online safety and may be interested in partnering on AI harms for the LGBTQI+ community.","<a href=""http://theotherfoundation.org/"" target=""_blank"">The Other Foundation</a> is focused on the LGBTQI+ community in Southern Africa and is located in South Africa.They gather support for those working to protect and advance the rights, wellbeing and social inclusion of people of all sexual orientations and gender identities. They have engaged with Facebook on online safety and may be interested in partnering on AI harms for the LGBTQI+ community.",Civil society,South Africa
4,1,"The World Professional Association for Transgender Health (WPATH) is a non-profit, ""interdisciplinary professional and educational organization devoted to transgender health. Our professional, supporting, and student members engage in clinical and academic research to develop evidence-based medicine and strive to promote a high quality of care for transsexual, transgender, and gender-nonconforming individuals internationally.""","The <a href=""https://www.wpath.org/"" target=""_blank"">World Professional Association for Transgender Health</a> (WPATH) is a non-profit, ""interdisciplinary professional and educational organization devoted to transgender health. Our professional, supporting, and student members engage in clinical and academic research to develop evidence-based medicine and strive to promote a high quality of care for transsexual, transgender, and gender-nonconforming individuals internationally.""",Civil society,United States
4,1,Trans Media Watch is a charity dedicated to improving media coverage of trans and intersex issues.,"<a href=""http://transmediawatch.org/"" target=""_blank"">Trans Media Watch</a> is a charity dedicated to improving media coverage of trans and intersex issues.",Civil society,United Kingdom
4,1,"The Astraea Lesbian Foundation is ""the only philanthropic organization working exclusively to advance LGBTQI+ human rights around the globe,"" most notably through grants to grassroots efforts around the world. Their Technologies for Liberation report ""lifts up the power of movement building and the ways in which organizers are innovating to create safe technologies and systems for the people they serve, centering QT2SBIPOC communities"" (in juxtaposition with the traditional use of technology by the state for mass surveillance).","The <a href=""https://www.astraeafoundation.org/"" target=""_blank"">Astraea Lesbian Foundation</a> is ""the only philanthropic organization working exclusively to advance LGBTQI+ human rights around the globe,"" most notably through grants to grassroots efforts around the world. Their <a href=""https://astraeafoundation.org/FundAbolitionTech/?bblinkid=246209255&amp;bbemailid=26686646&amp;bbejrid=1773043001"" target=""_blank"">Technologies for Liberation report</a> ""lifts up the power of movement building and the ways in which organizers are innovating to create safe technologies and systems for the people they serve, centering QT2SBIPOC communities"" (in juxtaposition with the traditional use of technology by the state for mass surveillance).",Civil society,Globally
4,2,"#AbolishICE is a movement to abolish the US immigration enforcement agency, which has been infiltrated by right-wing ideologies and uses extreme force and unconscionable methods like family separation (taking children from their parents and detaining them with inadequate resources) to enforce US immigration policy. ICE has accessed state databases of drivers license photos without consent, and signed a contract with Clearview AI to use its problematic facial recognition technology. See also #keepfamiliestogether.","<a href=""https://en.wikipedia.org/wiki/Abolish_ICE#:~:text=Abolish%20ICE%20is%20a%20political,and%20Customs%20Enforcement%20(ICE)."" target=""_blank"">#AbolishICE</a> is a movement to abolish the US immigration enforcement agency, which has been infiltrated by right-wing ideologies and uses extreme force and unconscionable methods like family separation (taking children from their parents and detaining them with inadequate resources) to enforce US immigration policy. ICE has accessed state databases of drivers license photos without consent, and <a href=""https://www.theverge.com/2020/8/14/21368930/clearview-ai-ice-contract-privacy-immigration"" target=""_blank"">signed a contract with Clearview AI</a> to use its problematic facial recognition technology. See also <a href=""https://twitter.com/hashtag/keepfamiliestogether?lang=en"" target=""_blank"">#keepfamiliestogether</a>.",Social movement,United States
4,2,"The Refugee And Immigrant Center for Education (RAICES): ""We provide affirmative, defensive, and litigation services to low-income immigrants.

With more immigration lawyers than any organization in Texas, in 2018 RAICES managed 37,863 cases at no cost to our clients. Without pro-bono legal services most of our clients, including children of all ages, would have to go to court alone, with zero representation. We believe no child should go to court alone.""","<a href=""https://www.raicestexas.org/"" target=""_blank"">The Refugee And Immigrant Center for Education</a> (RAICES): ""We provide affirmative, defensive, and litigation services to low-income immigrants. <br/> <br/>With more immigration lawyers than any organization in Texas, in 2018 RAICES managed 37,863 cases at no cost to our clients. Without pro-bono legal services most of our clients, including children of all ages, would have to go to court alone, with zero representation. We believe no child should go to court alone.""",Civil society,United States
4,2,"Mark Latonero at Data & Society researched a case study in Italy, looking at the data collected on migrants and refugees and the potential long-term harms its collection could have on their lives.","<a href=""https://datasociety.net/library/digital-identity-in-the-migration-refugee-context/"" target=""_blank"">Mark Latonero at Data &amp; Society</a> researched a case study in Italy, looking at the data collected on migrants and refugees and the potential long-term harms its collection could have on their lives.",Digital rights,n/a
4,2,"Centro de los Derechos del Migrante operates Contradatos, a platform that allows migrant workers to flip the script and review their employers, sharing critical information with fellow workers in the process.","Centro de los Derechos del Migrante operates <a href=""http://contratados.org/"" target=""_blank"">Contradatos</a>, a platform that allows migrant workers to flip the script and review their employers, sharing critical information with fellow workers in the process.",Civil society,United States
4,2,Sanctuary cities is a municipal movement to protect migrants from oppressive policies.,"<a href=""https://en.wikipedia.org/wiki/Sanctuary_city"" target=""_blank"">Sanctuary cities</a> is a municipal movement to protect migrants from oppressive policies.",Social movement,United States
4,2,"The Center for Humanitarian Data at UN-OCHA formed the Humanitarian Data and Trust Initiative (HDTI) to ""accelerate the responsible deployment of data-related technologies in humanitarian action"" while minimizing risks.","The Center for Humanitarian Data at UN-OCHA formed the <a href=""https://centre.humdata.org/introducing-the-humanitarian-data-and-trust-initiative/"" target=""_blank"">Humanitarian Data and Trust Initiative</a> (HDTI) to ""accelerate the responsible deployment of data-related technologies in humanitarian action"" while minimizing risks.",Civil society,Globally
4,2,"Privacy International is focused on this issue, including the privacy violations of migrant groups, especially that collected by governments at borders.","<a href=""https://privacyinternational.org/news-analysis/1322/why-we-work-refugee-privacy"" target=""_blank"">Privacy International</a> is focused on this issue, including the privacy violations of migrant groups, especially that collected by governments at borders.",Digital rights,n/a
4,2,The DATAJUSTICE Project is an ERC-funded research project on understanding datafication in relation to social justice with a focus on border control and migration.,"<a href=""https://datajusticeproject.net/topics/border-control-and-migration/"" target=""_blank"">The DATAJUSTICE Project</a> is an ERC-funded research project on understanding datafication in relation to social justice with a focus on border control and migration.",Academic / Researcher,European Union
4,2,"Amnesty International has a long history of standing up for the rights of migrants and refugees, including in the context of technology being used to surveill them and exploit their vulnerability.","<a href=""https://www.amnesty.org/en/what-we-do/refugees-asylum-seekers-and-migrants/"" target=""_blank"">Amnesty International</a> has a long history of standing up for the rights of migrants and refugees, including in the <a href=""https://www.amnestyusa.org/press-releases/palantirs-contracts-with-ice-raise-human-rights-concerns-around-direct-listing/"" target=""_blank"">context of technology being used to surveill them and exploit their vulnerability. </a>",Civil society,Globally
